Num,Address,Checkins,City,Country,Created,Latitude,Longitude,Title,Type
252,Московская 29,1,49,1,1280741941,56.837391,60.582338,Five,4
253,Челюскинцев ,0,49,1,1280741941,56.849704,60.592165,Пятый океан,4
254,ул. 8 Марта 43,0,49,1,1280741941,56.825936,60.604989,Антрэ,4
255,Толмачева 18,0,49,1,1280741941,56.839651,60.609516,Moloko,4
256,Высоцкого 22,2,49,1,1280741941,56.841443,60.686542,Novelty Club,4
257,Пушкина 2,0,49,1,1280741941,56.835835,60.609826,Pushkina2,4
258,ул. 8 Марта 5,60,49,1,1280741941,56.839577,60.598714,Пушкин Bar & Basement,4
259,Вайнера 40,6,49,1,1280741941,56.831403,60.595588,DaBar,4
260,ул. 8 Марта 212,0,49,1,1280741941,56.78597,60.605295,Империя страсти,4
261,Первомайская 74,30,49,1,1280741941,56.844589,60.63859,Метрополия,4
262,д. Жуковка 13а,1,49,1,1280741941,56.834461,60.676832,DJ Pub,4
263,Зеленоградская 9,0,49,1,1280741941,56.848841,60.612155,Сети,4
264,Кантемировская 14К10,1,60,1,1280741941,55.792969,49.113735,El Macho,4
265,Баумана ,0,60,1,1280741941,55.792893,49.110453,Три мушкетера,4
266,Правобулачная 47а,3,60,1,1280741941,55.786793,49.122893,Сахара,4
267,Автозаводская 1,1,60,1,1280741941,55.825386,49.043792,Мурена,4
268,Московская 1а,1,60,1,1280741941,55.793865,49.103509,Le Chat,4
269,Парижской Коммуны 25К39,0,60,1,1280741941,55.781124,49.112582,Red Fox,4
270,Автозаводская 5,11,60,1,1280741941,55.824111,49.046469,Центр клубной жизни,4
271,просп. Ленина ,1,49,1,1280741941,56.839774,60.615022,Желтая подводная лодка,4
272,Тухачевского 13,1,134,1,1280741941,45.014581,41.917412,Нил,4
273,Сибирский тракт 34б,0,49,1,1280741941,56.818558,60.66651,Небо,4
274,Уральская ,0,49,1,1280741941,56.858179,60.60105,Альбион,4
275,Доваторцев 30б,6,134,1,1280741941,45.026132,41.937023,Дорис,4
276,Хрущевский Вал 1,3,60,1,1280741941,55.786812,49.122868,51 Штат,4
277,Ленина 293а,4,134,1,1280741941,45.038426,41.949985,Z-клуб,4
278,Пушкина 29а,3,60,1,1280741941,55.792281,49.124529,Doctor Club,4
279,Пушкина 17,7,60,1,1280741941,55.788895,49.123392,Арена,4
280,просп. Академика Сахарова 14,59,1,1,1280741941,55.769135,37.643076,Каприз,4
281,Буркова 17,0,87,1,1280741941,68.962382,33.078664,Пирамида,4
282,просп. Ленина 82,0,87,1,1280741941,68.971345,33.077471,Планета,4
283,Вавилова 69,7,1,1,1280741941,55.68296,37.55151,Бакара,4
284,Сходненская 2а,2,87,1,1280741941,68.996249,33.09518,Рандеву,4
285,М.Сухаревская 1,0,87,1,1280741941,68.975005,33.080586,Седьмой континент,4
286,Кольский просп. 27,1,87,1,1280741941,68.944536,33.099226,Сфера,4
287,Волгоградскийпросп. 2а,1,87,1,1280741941,68.935755,33.117785,The Club,4
288,Кольский просп. 130,30,87,1,1280741941,68.921997,33.104203,Бриллиантовая рука,4
289,Книповича 17,12,87,1,1280741941,68.959655,33.077756,Ледокол,4
290,Ниж.Первомайская 22,6,87,1,1280741941,68.911082,33.085455,Гольфстрим,4
291,Воровского 5К23,32,87,1,1280741941,68.969817,33.072465,М-клуб,4
292,Локомотивный ,117,2,1,1280741941,59.981802,30.293347,Zimaleto,4
293,Даниловская наб. 201,2,6154,1,1280741941,53.529701,33.732786,Le Bateau Ivre,4
294,Потаповский пер. 5К2,8,1,1,1280741941,55.761674,37.640632,Louvre,4
295,пер. Гривцова 11,10,2,1,1280741941,59.927513,30.316174,Бардак,4
296,Славянская пл. 2К1,17,1,1,1280741941,55.75357,37.635148,"Sorry, Babushka",4
297,корп. 532 7,0,1,1,1280741941,55.787725,37.616036,In Time,4
298,Ярцевская 25а,6,1,1,1280741941,55.740999,37.415505,Юрта,4
299,Казакова 8,6,1,1,1280741941,55.76247,37.66026,Ikra,4
300,М.Кисловский пер. 6,4,1,1,1280741941,55.754735,37.603478,Подмосковье,4
301,Стремянная 16,0,2,1,1280741941,59.931093,30.352286,Жажда,4
302,Б.Лубянка 13К16,4,1,1,1280741941,55.764111,37.628855,Жесть,4
303,Певческий пер. 6,1,1,1,1280741941,55.751796,37.641719,Экспедиция,4
304,дер. Жуковка 8,8,1,1,1280741941,55.735925,37.455516,Алтайна,4
305,Покровка 16К1,112,1,1,1280741941,55.758651,37.64604,"Кафе, прежде известное как «Кризис жанра»",4
306,Сергея Макеева 9К1,2,1,1,1280741941,55.757182,37.550378,О2ТВ,4
307,Минская 2г,33,1,1,1280741941,55.734004,37.489904,Кутузов-холл,4
308,Семеновская пл. ,7,1,1,1280741941,55.832217,37.629313,Крамбамбуля,4
309,24-й км Киевского ш. 6,0,2,1,1280741941,59.915034,30.314673,Street Life,4
310,Милютинский пер. 13,4,1,1,1280741941,55.764921,37.63182,Hardcore,4
311,Думская 9,48,2,1,1280741941,59.932842,30.327445,Улитка на склоне,4
312,Революционная 146,158,123,1,1280741941,53.194001,50.180044,Метелица-С,4
313,Комсомольский просп. 28,0,1,1,1280741941,55.727019,37.579681,Арагоста,4
